word,classification,reason,confidence,frequency,length,is_hindi
!,punctuation,punctuation_only,1.0,2,1,False
!सर,incorrect_spelling,hapax_legomenon,0.6,1,3,True
",",punctuation,punctuation_only,1.0,60,1,False
",अगर",correct_spelling,low_frequency,0.5,2,4,True
",अच्छाअच्छा",incorrect_spelling,hapax_legomenon,0.6,1,11,True
",अपना",correct_spelling,low_frequency,0.5,2,5,True
",आप",correct_spelling,low_frequency,0.5,2,3,True
",आपको",incorrect_spelling,hapax_legomenon,0.6,1,5,True
",आपने",incorrect_spelling,hapax_legomenon,0.6,1,5,True
",इसलिए",incorrect_spelling,hapax_legomenon,0.6,1,6,True
",उससे",incorrect_spelling,hapax_legomenon,0.6,1,5,True
",ऐसा",incorrect_spelling,hapax_legomenon,0.6,1,4,True
",ओके",incorrect_spelling,hapax_legomenon,0.6,1,4,True
",और",incorrect_spelling,hapax_legomenon,0.6,1,3,True
",और।",incorrect_spelling,hapax_legomenon,0.6,1,4,True
",कि",correct_spelling,low_frequency,0.5,3,3,True
",कोई",incorrect_spelling,hapax_legomenon,0.6,1,4,True
",क्या",incorrect_spelling,hapax_legomenon,0.6,1,5,True
",क्यों",incorrect_spelling,invalid_character_combination,0.9,1,6,True
",जब",incorrect_spelling,hapax_legomenon,0.6,1,3,True
",जय",incorrect_spelling,hapax_legomenon,0.6,1,3,True
",जिसमें",incorrect_spelling,invalid_character_combination,0.9,1,7,True
",जी",incorrect_spelling,hapax_legomenon,0.6,1,3,True
",जी.",english_transliteration,non_devanagari,0.7,1,4,False
",ठीक",incorrect_spelling,hapax_legomenon,0.6,1,4,True
",तो",correct_spelling,medium_frequency,0.6,5,3,True
",दो",incorrect_spelling,hapax_legomenon,0.6,1,3,True
",नहीं",incorrect_spelling,invalid_character_combination,0.9,1,5,True
",नागपुरी",incorrect_spelling,hapax_legomenon,0.6,1,8,True
",पता",incorrect_spelling,hapax_legomenon,0.6,1,4,True
",बड़े",incorrect_spelling,hapax_legomenon,0.6,1,5,True
",मतलब",correct_spelling,low_frequency,0.5,2,5,True
",मेरे",incorrect_spelling,hapax_legomenon,0.6,1,5,True
",या",incorrect_spelling,hapax_legomenon,0.6,1,3,True
",लेकिन",correct_spelling,low_frequency,0.5,2,6,True
",वाली",incorrect_spelling,hapax_legomenon,0.6,1,5,True
",सांप",incorrect_spelling,invalid_character_combination,0.9,1,5,True
",साफ",incorrect_spelling,hapax_legomenon,0.6,1,4,True
",हाँ",correct_spelling,low_frequency,0.5,2,4,True
",हां",incorrect_spelling,invalid_character_combination,0.9,1,4,True
",है",incorrect_spelling,hapax_legomenon,0.6,1,3,True
.,punctuation,punctuation_only,1.0,17,1,False
.अ,english_transliteration,non_devanagari,0.7,1,2,False
.जी।,incorrect_spelling,hapax_legomenon,0.6,1,4,True
.तभी,incorrect_spelling,hapax_legomenon,0.6,1,4,True
.पी,incorrect_spelling,hapax_legomenon,0.6,1,3,True
.यस,incorrect_spelling,hapax_legomenon,0.6,1,3,True
.हम,incorrect_spelling,hapax_legomenon,0.6,1,3,True
.हाँजी,incorrect_spelling,hapax_legomenon,0.6,1,6,True
.हू,incorrect_spelling,hapax_legomenon,0.6,1,3,True
.।,punctuation,punctuation_only,1.0,1,2,False
19,number,numeric_value,1.0,1,2,False
1917,number,numeric_value,1.0,1,4,False
2045,number,numeric_value,1.0,2,4,False
600,number,numeric_value,1.0,2,3,False
648,number,numeric_value,1.0,1,3,False
90,number,numeric_value,1.0,1,2,False
99,number,numeric_value,1.0,1,2,False
REDACTED,english_transliteration,non_devanagari,0.7,209,8,False
अ,correct_spelling,single_character,0.6,309,1,True
अ.,english_transliteration,non_devanagari,0.7,8,2,False
अं,correct_spelling,in_dictionary,1.0,16,2,True
अंक,correct_spelling,high_frequency,0.7,10,3,True
अंकल,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अंग्रीश,correct_spelling,low_frequency,0.5,2,7,True
अंग्रे,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अंग्रेज,correct_spelling,low_frequency,0.5,2,7,True
अंग्रेजी,incorrect_spelling,hapax_legomenon,0.6,1,8,True
अंजाने,correct_spelling,low_frequency,0.5,2,6,True
अंडर,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अंडा,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अंत,correct_spelling,medium_frequency,0.6,6,3,True
अंतर,correct_spelling,low_frequency,0.5,4,4,True
अंतरिक,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अंदर,correct_spelling,in_dictionary,1.0,66,4,True
अंदाज,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अंदाजा,correct_spelling,low_frequency,0.5,4,6,True
अंधे,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अंधेरे,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अंधेला,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अंबर,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अंभी,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अंह,incorrect_spelling,hapax_legomenon,0.6,1,3,True
अअ,correct_spelling,low_frequency,0.5,2,2,True
अअअअअअ,incorrect_spelling,suspicious_repetition,0.7,1,6,True
अअह,incorrect_spelling,hapax_legomenon,0.6,1,3,True
अकल,correct_spelling,low_frequency,0.5,2,3,True
अकलकम,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अकाउंट,correct_spelling,low_frequency,0.5,3,6,True
अकेल,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अकेला,correct_spelling,low_frequency,0.5,2,5,True
अकेली,correct_spelling,low_frequency,0.5,3,5,True
अकेले,correct_spelling,high_frequency,0.7,15,5,True
अकॉर्डिंग,incorrect_spelling,invalid_character_combination,0.9,3,9,True
अक्षरधाम,correct_spelling,low_frequency,0.5,3,8,True
अक्सर,correct_spelling,high_frequency,0.7,11,5,True
अखंड,correct_spelling,low_frequency,0.5,2,4,True
अखबार,incorrect_spelling,hapax_legomenon,0.6,1,5,True
अखाड़ा,incorrect_spelling,hapax_legomenon,0.6,1,6,True
अग,correct_spelling,low_frequency,0.5,3,2,True
अगर,correct_spelling,in_dictionary,1.0,463,3,True
"अगर,",incorrect_spelling,hapax_legomenon,0.6,1,4,True
अगर.,incorrect_spelling,hapax_legomenon,0.6,1,4,True
अगर।,incorrect_spelling,hapax_legomenon,0.6,1,4,True
