word,classification
!,punctuation
!सर,incorrect_spelling
",",punctuation
",अगर",correct_spelling
",अच्छाअच्छा",incorrect_spelling
",अपना",correct_spelling
",आप",correct_spelling
",आपको",incorrect_spelling
",आपने",incorrect_spelling
",इसलिए",incorrect_spelling
",उससे",incorrect_spelling
",ऐसा",incorrect_spelling
",ओके",incorrect_spelling
",और",incorrect_spelling
",और।",incorrect_spelling
",कि",correct_spelling
",कोई",incorrect_spelling
",क्या",incorrect_spelling
",क्यों",incorrect_spelling
",जब",incorrect_spelling
",जय",incorrect_spelling
",जिसमें",incorrect_spelling
",जी",incorrect_spelling
",जी.",english_transliteration
",ठीक",incorrect_spelling
",तो",correct_spelling
",दो",incorrect_spelling
",नहीं",incorrect_spelling
",नागपुरी",incorrect_spelling
",पता",incorrect_spelling
",बड़े",incorrect_spelling
",मतलब",correct_spelling
",मेरे",incorrect_spelling
",या",incorrect_spelling
",लेकिन",correct_spelling
",वाली",incorrect_spelling
",सांप",incorrect_spelling
",साफ",incorrect_spelling
",हाँ",correct_spelling
",हां",incorrect_spelling
",है",incorrect_spelling
.,punctuation
.अ,english_transliteration
.जी।,incorrect_spelling
.तभी,incorrect_spelling
.पी,incorrect_spelling
.यस,incorrect_spelling
.हम,incorrect_spelling
.हाँजी,incorrect_spelling
.हू,incorrect_spelling
.।,punctuation
19,number
1917,number
2045,number
600,number
648,number
90,number
99,number
REDACTED,english_transliteration
अ,correct_spelling
अ.,english_transliteration
अं,correct_spelling
अंक,correct_spelling
अंकल,incorrect_spelling
अंग्रीश,correct_spelling
अंग्रे,incorrect_spelling
अंग्रेज,correct_spelling
अंग्रेजी,incorrect_spelling
अंजाने,correct_spelling
अंडर,incorrect_spelling
अंडा,incorrect_spelling
अंत,correct_spelling
अंतर,correct_spelling
अंतरिक,incorrect_spelling
अंदर,correct_spelling
अंदाज,incorrect_spelling
अंदाजा,correct_spelling
अंधे,incorrect_spelling
अंधेरे,incorrect_spelling
अंधेला,incorrect_spelling
अंबर,incorrect_spelling
अंभी,incorrect_spelling
अंह,incorrect_spelling
अअ,correct_spelling
अअअअअअ,incorrect_spelling
अअह,incorrect_spelling
अकल,correct_spelling
अकलकम,incorrect_spelling
अकाउंट,correct_spelling
अकेल,incorrect_spelling
अकेला,correct_spelling
अकेली,correct_spelling
अकेले,correct_spelling
अकॉर्डिंग,incorrect_spelling
अक्षरधाम,correct_spelling
अक्सर,correct_spelling
अखंड,correct_spelling
अखबार,incorrect_spelling
अखाड़ा,incorrect_spelling
अग,correct_spelling
अगर,correct_spelling
"अगर,",incorrect_spelling
अगर.,incorrect_spelling
अगर।,incorrect_spelling
अगल,correct_spelling
अगलबगल,incorrect_spelling
अगला,correct_spelling
"अगला,",incorrect_spelling
अगली,correct_spelling
अगले,correct_spelling
अगेन,incorrect_spelling
अग्रज,correct_spelling
अग्रसर,correct_spelling
अचानक,correct_spelling
अचार्य,correct_spelling
अचीव,correct_spelling
अच्छ,correct_spelling
अच्छा,correct_spelling
"अच्छा,",correct_spelling
"अच्छा,अच्छा",correct_spelling
अच्छाअच्छा,incorrect_spelling
अच्छाह्म्म,incorrect_spelling
अच्छा।,correct_spelling
अच्छी,correct_spelling
अच्छे,correct_spelling
अच्छेअच्छे,incorrect_spelling
अज,incorrect_spelling
अजन्म।,incorrect_spelling
अजानक,incorrect_spelling
अजीत,incorrect_spelling
अजीब,correct_spelling
अटक,correct_spelling
अटेंड,incorrect_spelling
अटेंडेंनेस,incorrect_spelling
अटेंडेंस,incorrect_spelling
अटैंड,incorrect_spelling
अटैच,correct_spelling
अट्ठाइस,incorrect_spelling
अट्रैक्ट,incorrect_spelling
अट्रैक्टिव,incorrect_spelling
अठारह,incorrect_spelling
अड्डा,incorrect_spelling
अथि,incorrect_spelling
अदर,incorrect_spelling
अदरवाइज,incorrect_spelling
अदरवाइस,incorrect_spelling
अद्भुत,incorrect_spelling
अधिक,correct_spelling
अधिकतम,incorrect_spelling
अधिकतर,correct_spelling
अधिकार,incorrect_spelling
अन,incorrect_spelling
अनएक्सपेक्टेड,correct_spelling
अनकंफर्टेबल,incorrect_spelling
अनजान,correct_spelling
अनपुर्णा,incorrect_spelling
अनपेड,incorrect_spelling
अनप्रेडिक्टेबल,incorrect_spelling
अनमैरिज,incorrect_spelling
अनमैरिज्ड,incorrect_spelling
अनमैरिड,incorrect_spelling
"अनमैरिड,",incorrect_spelling
अनहेल्दी,incorrect_spelling
अनाज,incorrect_spelling
अनिवार्य,incorrect_spelling
अनुकुल,incorrect_spelling
अनुकूल,correct_spelling
अनुपम,incorrect_spelling
अनुभव,correct_spelling
अनुभवों,incorrect_spelling
अनुशासन,correct_spelling
अनुसरण,incorrect_spelling
अनुसार,correct_spelling
अनूठा,correct_spelling
अनोखा,incorrect_spelling
अनोखे,correct_spelling
अन्दर,incorrect_spelling
अन्मैरिड,incorrect_spelling
अन्य,correct_spelling
